Chromosome	Position	Bam_URL	Bai_url
chr2	152381103	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009471_10_S73_L001_R1_001/sam_alignments_chr2_152381103.sorted.withT.bam	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009471_10_S73_L001_R1_001/sam_alignments_chr2_152381103.sorted.withT.bam.bai
chr8	100844500	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009471_10_S73_L001_R1_001/sam_alignments_chr8_100844500.sorted.withT.bam	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009471_10_S73_L001_R1_001/sam_alignments_chr8_100844500.sorted.withT.bam.bai
chr8	100844503	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009471_10_S73_L001_R1_001/sam_alignments_chr8_100844503.sorted.withT.bam	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009471_10_S73_L001_R1_001/sam_alignments_chr8_100844503.sorted.withT.bam.bai
chr8	100844595	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009471_10_S73_L001_R1_001/sam_alignments_chr8_100844664_revcomp.sorted.withT.bam	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009471_10_S73_L001_R1_001/sam_alignments_chr8_100844664_revcomp.sorted.withT.bam.bai
chr2	152381103	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009701_10_S94_L001_R1_001/sam_alignments_chr2_152381103.sorted.withT.bam	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009701_10_S94_L001_R1_001/sam_alignments_chr2_152381103.sorted.withT.bam.bai
chr8	100844503	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009701_10_S94_L001_R1_001/sam_alignments_chr8_100844503.sorted.withT.bam	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009701_10_S94_L001_R1_001/sam_alignments_chr8_100844503.sorted.withT.bam.bai
chr2	152381103	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009462_10_S71_L002_R1_001/sam_alignments_chr2_152381103.sorted.withT.bam	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009462_10_S71_L002_R1_001/sam_alignments_chr2_152381103.sorted.withT.bam.bai
chr8	100844500	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009462_10_S71_L002_R1_001/sam_alignments_chr8_100844500.sorted.withT.bam	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009462_10_S71_L002_R1_001/sam_alignments_chr8_100844500.sorted.withT.bam.bai
chr8	100844503	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009462_10_S71_L002_R1_001/sam_alignments_chr8_100844503.sorted.withT.bam	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009462_10_S71_L002_R1_001/sam_alignments_chr8_100844503.sorted.withT.bam.bai
chr2	152381103	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009637_10_S27_L002_R2_001/sam_alignments_chr2_152381103.sorted.withT.bam	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009637_10_S27_L002_R2_001/sam_alignments_chr2_152381103.sorted.withT.bam.bai
